id,node_id,label,value
36000000-0000-4000-a000-000000000001,30000000-0000-4000-a000-000000000002,新規顧客獲得施策,1.05
36000000-0000-4000-a000-000000000002,30000000-0000-4000-a000-000000000002,リピート率向上,1.03
36000000-0000-4000-a000-000000000003,30000000-0000-4000-a000-000000000003,アップセル施策,1.08
36000000-0000-4000-a000-000000000004,30000000-0000-4000-a000-000000000003,クロスセル施策,1.04
36000000-0000-4000-a000-000000000005,30000000-0000-4000-a000-000000000006,経費削減,0.95
36000000-0000-4000-a000-000000000006,30000000-0000-4000-a000-000000000008,仕入れ改善,0.97
36000000-0000-4000-a000-000000000007,30000000-0000-4000-a000-000000000010,シフト最適化,1.02
36000000-0000-4000-a000-000000000008,30000000-0000-4000-a000-000000000011,設備投資効果,1.10
36000000-0000-4000-a000-000000000009,30000000-0000-4000-a000-000000000013,プロモーション強化,1.15
36000000-0000-4000-a000-000000000010,30000000-0000-4000-a000-000000000015,解約防止策,0.90
36000000-0000-4000-a000-000000000011,30000000-0000-4000-a000-000000000017,リード獲得強化,1.20
36000000-0000-4000-a000-000000000012,30000000-0000-4000-a000-000000000018,顧客維持施策,1.05
36000000-0000-4000-a000-000000000013,30000000-0000-4000-a000-000000000022,材料調達改善,0.96
36000000-0000-4000-a000-000000000014,30000000-0000-4000-a000-000000000023,自動化推進,0.92
36000000-0000-4000-a000-000000000015,30000000-0000-4000-a000-000000000026,広告最適化,1.12
