id,user_id,changed_by_id,action,role_type,project_id,old_roles,new_roles,reason,changed_at
90000000-0000-4000-a000-000000000001,00000000-0000-4000-a000-000000000001,,grant,system,,"[]","[""SystemAdmin"", ""User""]",初期アカウント作成,2024-01-01T00:00:00Z
90000000-0000-4000-a000-000000000002,00000000-0000-4000-a000-000000000002,00000000-0000-4000-a000-000000000001,grant,system,,"[]","[""User""]",一般ユーザーとして登録,2024-01-02T10:00:00Z
90000000-0000-4000-a000-000000000003,00000000-0000-4000-a000-000000000003,00000000-0000-4000-a000-000000000001,grant,system,,"[]","[""User""]",一般ユーザーとして登録,2024-01-03T10:00:00Z
90000000-0000-4000-a000-000000000004,00000000-0000-4000-a000-000000000002,00000000-0000-4000-a000-000000000001,grant,project,20000000-0000-4000-a000-000000000001,"[]","[""Admin""]",プロジェクト管理者として追加,2024-01-15T14:30:00Z
90000000-0000-4000-a000-000000000005,00000000-0000-4000-a000-000000000003,00000000-0000-4000-a000-000000000002,grant,project,20000000-0000-4000-a000-000000000001,"[]","[""Member""]",プロジェクトメンバーとして追加,2024-01-16T09:00:00Z
90000000-0000-4000-a000-000000000006,00000000-0000-4000-a000-000000000004,00000000-0000-4000-a000-000000000001,grant,system,,"[]","[""User""]",一般ユーザーとして登録,2024-01-20T11:00:00Z
90000000-0000-4000-a000-000000000007,00000000-0000-4000-a000-000000000005,00000000-0000-4000-a000-000000000001,grant,system,,"[]","[""User""]",一般ユーザーとして登録,2024-01-21T11:00:00Z
90000000-0000-4000-a000-000000000008,00000000-0000-4000-a000-000000000004,00000000-0000-4000-a000-000000000002,grant,project,20000000-0000-4000-a000-000000000002,"[]","[""Viewer""]",閲覧者として追加,2024-02-01T15:00:00Z
90000000-0000-4000-a000-000000000009,00000000-0000-4000-a000-000000000004,00000000-0000-4000-a000-000000000002,update,project,20000000-0000-4000-a000-000000000002,"[""Viewer""]","[""Member""]",ロール変更（閲覧者→メンバー）,2024-02-10T10:00:00Z
90000000-0000-4000-a000-000000000010,00000000-0000-4000-a000-000000000005,00000000-0000-4000-a000-000000000001,grant,project,20000000-0000-4000-a000-000000000003,"[]","[""Admin""]",プロジェクト管理者として追加,2024-02-15T09:00:00Z
